country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112
Angola,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,,,,,,,,,,,0.241,0.292,0.214,0.208,0.211,0.189,0.188,0.182,0.247,0.242,0.216,0.273,0.349,0.211,0.256,0.218,0.208,0.232,0.236,0.211,0.186,0.183,0.174,0.186,0.175,0.521,0.638,0.673,0.71,0.796,0.746,1.11,1.21,1.24,1.29,1.62,1.57,1.33,1.15,1.77,1.66,2.03,2.12,1.97,1.9
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509,0.0347,0.0705,0.108,0.0404,0.0498,0.0519,0.0516,0.0513
Australia,1.41,1.31,1.2,1.1,0.95,0.885,0.789,0.745,0.675,0.616,0.529,0.496,0.504,0.525,0.616,0.665,0.634,0.52,0.472,0.461,0.404,0.395,0.494,0.408,0.396,0.381,0.367,0.357,0.529,0.551,0.486,0.491,0.421,0.417,0.411,0.432,0.538,0.545,0.546,0.587,0.586,0.713,0.878,1.06,1.13,2.1,2.46,2.75,3.22,2.74,3.27,3.83,5.01,5.98,7.5,8.34
Austria,0,0,0,0,0,0,0,0,0,0,0.609,0.826,0.729,0.653,0.638,0.624,0.729,0.731,0.802,0.823,0.779,1.18,1.12,1.33,1.93,2.14,2.91,1.82,2.17,2.25,2.28,2.4,2.62,2.61,2.28,3.33,2.94,3.08,3.34,2.75,2.67,2.91,2.75,3.61,4.86,6.1,8.27,9.89,9.83,9.47,9.74,10.6,10.8,12.9,14.5,16.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0.00534,0,0,0.295,0.372,0.409
Bahrain,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.267,0.268
